Date,bioRxiv uploads,Note
11/2013,60,bioRxic starts accepting preprints
12/2013,49,
1/2014,54,
2/2014,66,
3/2014,43,
4/2014,66,
5/2014,81,
6/2014,72,
7/2014,67,
8/2014,80,
9/2014,93,
10/2014,88,
11/2014,81,
12/2014,95,
1/2015,114,
2/2015,88,
3/2015,120,
4/2015,119,
5/2015,112,
6/2015,128,
7/2015,159,
8/2015,159,
9/2015,163,
10/2015,191,
11/2015,227,
12/2015,194,
1/2016,202,
2/2016,271,
3/2016,366,
4/2016,345,
5/2016,388,
6/2016,400,
7/2016,385,
8/2016,448,
9/2016,438,
10/2016,455,
11/2016,463,
12/2016,557,Peer Community in Evolutionary Biology posts first recommended article
1/2017,586,
2/2017,623,
3/2017,812,
4/2017,741,Preprints start receiving high profile science write-ups
5/2017,958,
6/2017,1097,
7/2017,978,
8/2017,988,
9/2017,1059,
10/2017,1205,
11/2017,1196,
12/2017,1099,
1/2018,1247,
2/2018,1228,
3/2018,1482,
4/2018,1495,
5/2018,1932,
6/2018,1867,
7/2018,1727,
8/2018,1862,
9/2018,1915,
10/2018,2119,
11/2018,1955,
12/2018,1953,
1/2019,2173,
2/2019,2083,
3/2019,2406,Pandemic lockdown starts in many countries
4/2019,2244,
5/2019,2509,
6/2019,2355,
7/2019,2614,
8/2019,2375,
9/2019,2644,
10/2019,2909,
11/2019,2564,
12/2019,2303,
1/2020,2657,
2/2020,2744,
3/2020,3037,
4/2020,3413,
5/2020,3857,
6/2020,3759,
7/2020,3696,
8/2020,3186,
9/2020,3151,
10/2020,3188,
11/2020,3006,
12/2020,2973,
1/2021,2730,
2/2021,2863,
3/2021,3371,
4/2021,3109,